Model,Const,Mem,Prop,#States (min),#Params (min),Add. Settings,Method,Time,Found
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.1,momentum-sign,2099.263,0.145
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.1,momentum-sign,2103.008,0.145
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.1,momentum-sign,2108.268,0.145
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.1,momentum-sign,2006.619,0.145
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.1,momentum-sign,2009.027,0.145
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,?,?,lr=0.1,qcqp,ERR,ERR
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,?,?,lr=0.1,qcqp,ERR,ERR
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,?,?,lr=0.1,qcqp,ERR,ERR
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,?,?,lr=0.1,qcqp,ERR,ERR
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,?,?,lr=0.1,qcqp,ERR,ERR
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,?,?,lr=0.1,pso,ERR,ERR
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,?,?,lr=0.1,pso,ERR,ERR
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,?,?,lr=0.1,pso,ERR,ERR
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,?,?,lr=0.1,pso,ERR,ERR
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,?,?,lr=0.1,pso,ERR,ERR
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.1,momentum-sign,0.089,0.0
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.1,momentum-sign,0.089,0.0
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.1,momentum-sign,0.09,0.0
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.1,momentum-sign,0.087,0.0
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.1,momentum-sign,0.086,0.0
nrp,K=16 ,2,0.001_probability__min_unfair,?,?,lr=0.1,qcqp,3.5839,0.0008
nrp,K=16 ,2,0.001_probability__min_unfair,?,?,lr=0.1,qcqp,3.6073,0.0008
nrp,K=16 ,2,0.001_probability__min_unfair,?,?,lr=0.1,qcqp,3.5817,0.0008
nrp,K=16 ,2,0.001_probability__min_unfair,?,?,lr=0.1,qcqp,3.6054,0.0008
nrp,K=16 ,2,0.001_probability__min_unfair,?,?,lr=0.1,qcqp,3.6,0.0008
