Model,Const,Mem,Prop,#States (min),#Params (min),Add. Settings,Method,Time,Found
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,	1540,1250,lr=0.1,momentum,4.475,0.1317
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,	1540,1250,lr=0.1,momentum,4.566,0.1317
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,	1540,1250,lr=0.1,momentum,4.162,0.1317
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,	1540,1250,lr=0.1,momentum,3.923,0.1317
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,	1540,1250,lr=0.1,momentum,4.165,0.1317
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,	1540,1250,lr=0.1,momentum-sign,4.154,0.1317
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,	1540,1250,lr=0.1,momentum-sign,3.88,0.1317
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,	1540,1250,lr=0.1,momentum-sign,4.047,0.1317
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,	1540,1250,lr=0.1,momentum-sign,3.99,0.1317
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,	1540,1250,lr=0.1,momentum-sign,4.044,0.1317
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,?,?,lr=0.1,qcqp,ERR,ERR
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,?,?,lr=0.1,qcqp,ERR,ERR
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,?,?,lr=0.1,qcqp,ERR,ERR
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,?,?,lr=0.1,qcqp,ERR,ERR
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,?,?,lr=0.1,qcqp,ERR,ERR
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,?,?,lr=0.1,pso,ERR,ERR
